"var1","var2","r"
"tn_mg_l","no3_mg_l",0.998
"ca_mg_l","fe_mg_l",0.995
"ca_mg_l","conductivity_u_s_cm",0.994
"hco3_mg_l","ca_mg_l",0.993
"cd_mg_l","tn_mg_l",0.992
"fe_mg_l","conductivity_u_s_cm",0.991
"cd_mg_l","no3_mg_l",0.989
"area_indus","total_area_km2",0.989
"area_urban","area_indus",0.986
"hco3_mg_l","conductivity_u_s_cm",0.984
"area_indus","na_mg_l",0.983
"so4_mg_l","conductivity_u_s_cm",0.982
"total_area_km2","conductivity_u_s_cm",0.982
"area_urban","mg_mg_l",0.982
"total_area_km2","so4_mg_l",0.981
"no3_mg_l","total_po4_mg_l",0.98
"tn_mg_l","total_po4_mg_l",0.98
"fe_mg_l","so4_mg_l",0.98
"total_area_km2","ca_mg_l",0.98
"ca_mg_l","so4_mg_l",0.979
"area_indus","so4_mg_l",0.979
"hco3_mg_l","fe_mg_l",0.978
"na_mg_l","cl_mg_l",0.977
"area_agric","conductivity_u_s_cm",0.975
"total_area_km2","fe_mg_l",0.975
"mg_mg_l","so4_mg_l",0.974
"pct_urban","so4_mg_l",0.972
"area_agric","ca_mg_l",0.972
"total_area_km2","na_mg_l",0.972
"pct_indus","area_agric",0.972
"cd_mg_l","total_po4_mg_l",0.971
"na_mg_l","nh4_mg_l",0.971
"area_urban","so4_mg_l",0.97
"pct_agri","hco3_mg_l",-0.969
"area_indus","mg_mg_l",0.967
"pct_agri","ca_mg_l",-0.966
"area_agric","hco3_mg_l",0.966
"hco3_mg_l","so4_mg_l",0.965
"area_rural","total_area_km2",0.965
"area_indus","cl_mg_l",0.964
"total_area_km2","hco3_mg_l",0.964
"area_urban","total_area_km2",0.964
"area_agric","fe_mg_l",0.963
"pct_agri","area_rural",-0.961
"area_urban","na_mg_l",0.96
"pct_urban","conductivity_u_s_cm",0.958
"pct_indus","area_rural",0.958
"pct_urban","total_area_km2",0.957
"na_mg_l","so4_mg_l",0.955
"area_indus","fe_mg_l",0.955
"pct_indus","ca_mg_l",0.955
"area_indus","conductivity_u_s_cm",0.954
"hco3_mg_l","nh4_mg_l",0.954
