stream,catchment,type,replicate,date_deployment,time_deployment,date_sampled,time_sampled,bag_ID,no_disks_DNA,no_disks_FA,no_disks_SIA,no_disks_OMD,no_disks_all,rest_60_g,rest_500_g,OMD_60_mg,OMD_500_mg,comments
BOYkl,Boye,fine,rep 1,04/03/2025,12:15,19/03/2025,11:40,675,1,3,4,5,13,2.285,0.167,15.49,1.06,
BOYkl,Boye,fine,rep 2,04/03/2025,12:20,19/03/2025,11:40,527,1,3,4,5,13,2.400,0.213,14.55,0.99,
BOYkl,Boye,fine,rep 3,04/03/2025,12:25,19/03/2025,11:40,294,1,3,4,5,13,2.371,0.241,15.44,1.18,
BOYkl,Boye,coarse,rep 1,04/03/2025,12:30,19/03/2025,11:40,L036,0,0,0,0,0,0.147,0.017,0.00,0.00,Insufficient intact leaf material available for disc preparation.
BOYkl,Boye,coarse,rep 2,04/03/2025,12:35,19/03/2025,11:40,L118,1,3,4,5,13,0.236,0.006,10.90,0.92,
BOYkl,Boye,coarse,rep 3,04/03/2025,14:40,19/03/2025,11:40,L190,1,0,0,4,5,0.245,0.013,13.08,0.77,
BOYohB224,Boye,fine,rep 1,04/03/2025,17:05,21/03/2025,12:00,034,1,3,4,5,13,2.675,0.433,27.56,4.68,
BOYohB224,Boye,fine,rep 2,04/03/2025,17:15,21/03/2025,12:00,124,1,3,4,5,13,2.421,0.250,17.34,1.47,
BOYohB224,Boye,fine,rep 3,04/03/2025,17:20,21/03/2025,12:00,512,1,3,4,5,13,2.649,0.375,18.88,2.36,
BOYohB224,Boye,coarse,rep 1,04/03/2025,17:25,21/03/2025,12:00,L227,1,3,0,5,9,0.801,0.078,16.44,1.41,
BOYohB224,Boye,coarse,rep 2,04/03/2025,17:30,21/03/2025,12:00,L059,1,2,0,5,8,0.567,0.052,13.79,1.69,
BOYohB224,Boye,coarse,rep 3,04/03/2025,17:35,21/03/2025,12:00,L160,1,3,4,5,13,0.841,0.062,18.95,1.42,
BOYohBr,Boye,fine,rep 1,04/03/2025,14:20,20/03/2025,13:50,672,1,3,4,5,13,2.257,0.278,14.47,1.50,
BOYohBr,Boye,fine,rep 2,04/03/2025,14:25,20/03/2025,13:50,061,1,3,4,5,13,2.089,0.237,16.01,1.33,
BOYohBr,Boye,fine,rep 3,04/03/2025,14:30,20/03/2025,13:50,573,1,3,4,5,13,2.304,0.311,15.79,1.10,
BOYohBr,Boye,coarse,rep 1,04/03/2025,14:35,20/03/2025,13:50,L146,1,3,2,5,11,0.496,0.115,11.67,1.28,
BOYohBr,Boye,coarse,rep 2,04/03/2025,14:40,20/03/2025,13:50,L156,1,0,0,0,1,0.414,0.087,0.00,0.00,Insufficient intact leaf material OMD analysis.
