"stream","catchment","type","replicate","date_deployment","time_deployment","date_sampled","time_sampled","bag_ID","no_disks_DNA","no_disks_FA","no_disks_SIA","no_disks_OMD","no_disks_all","rest_60_g","rest_500_g","OMD_60_mg","OMD_500_mg","comments","deployment_duration_days","LandUse","initial_mass_g","perc_60","perc_500","AFDM_start","rest_AFDM","afdm_all_disks","AFDM_end","water_temp","deg_days","k","total_abundance","oxygen_dissolved","conductivity"
"BIE1","Kinzig","fine","rep 1",2025-03-11,"12:50",2025-03-26,"15:30","738",1,3,4,5,13,4.03,1.758,29.03,11.92,"",15,"urban",3.516,0.854017522637833,0.0453407045534041,2.8433,2.272,0.0311,2.3031,9,135,0.00156,30,11.9,138
"BIE1","Kinzig","fine","rep 2",2025-03-11,"12:52",2025-03-26,"15:30","537",1,3,4,5,13,3.497,1.371,25.01,7.27,"",15,"urban",3.528,0.854017522637833,0.0453407045534041,2.853,2.126,0.0311,2.1571,9,135,0.00207,0,11.9,138
"BIE1","Kinzig","fine","rep 3",2025-03-11,"12:53",2025-03-26,"15:30","240",1,3,4,5,13,3.803,1.626,21.6,5.33,"",15,"urban",3.489,0.854017522637833,0.0453407045534041,2.8215,2.177,0.0311,2.2081,9,135,0.00182,33,11.9,138
"BIE1","Kinzig","coarse","rep 1",2025-03-11,"12:55",2025-03-26,"15:35","L214",1,0,0,0,1,0.751,0.085,0,0,"Significant leaf consumption by macroinvertebrates observed",15,"urban",3.503,0.91228325487691,0.0476630928962099,3.0288,0.666,0.0024,0.6684,9,135,0.01119,30,11.9,138
"BIE1","Kinzig","coarse","rep 2",2025-03-11,"12:57",2025-03-26,"15:36","L199",1,3,2,5,11,1.574,0.142,21.12,1.43,"",15,"urban",3.499,0.91228325487691,0.0476630928962099,3.0253,1.432,0.0263,1.4583,9,135,0.00541,0,11.9,138
"BIE1","Kinzig","coarse","rep 3",2025-03-11,"13:00",2025-03-26,"15:38","L096",1,1,0,5,7,1.6,0.178,19.17,1.71,"",15,"urban",3.483,0.91228325487691,0.0476630928962099,3.0115,1.422,0.0167,1.4387,9,135,0.00547,33,11.9,138
"BIE2","Kinzig","fine","rep 1",2025-03-11,"13:35",2025-03-26,"15:39","543",1,3,4,5,13,2.865,0.475,17.57,1.8,"",15,"rural",3.524,0.854017522637833,0.0453407045534041,2.8498,2.39,0.0311,2.4211,8.8,132,0.00124,27,11.8,146
"BIE2","Kinzig","fine","rep 2",2025-03-11,"13:37",2025-03-26,"15:40","747",1,3,4,5,13,2.948,0.794,20.83,5.07,"",15,"rural",3.526,0.854017522637833,0.0453407045534041,2.8514,2.154,0.0311,2.1851,8.8,132,0.00202,20,11.8,146
"BIE2","Kinzig","fine","rep 3",2025-03-11,"13:39",2025-03-26,"15:41","603",1,3,4,5,13,3.237,0.935,23.72,5.05,"",15,"rural",3.531,0.854017522637833,0.0453407045534041,2.8554,2.302,0.0311,2.3331,8.8,132,0.00153,72,11.8,146
"BIE2","Kinzig","coarse","rep 1",2025-03-11,"13:41",2025-03-26,"15:42","L027",1,0,0,0,1,0.758,0.089,0,0,"Significant leaf consumption by macroinvertebrates observed",15,"rural",3.531,0.91228325487691,0.0476630928962099,3.053,0.669,0.0024,0.6714,8.8,132,0.01147,27,11.8,146
