,Name,Year,Value,Area,Area_Percentage
0,BOY_kl,2016,115,4.35,7.082383588
1,BOY_kl,2016,131,10.49,17.07912732
2,BOY_kl,2016,171,2.56,4.168023445
3,BOY_kl,2016,411,4.97,8.091826767
4,BOY_kl,2016,459,11.77,19.16313904
5,BOY_kl,2016,9012,5.89,9.589710192
6,BOY_kl,2016,9018,14.25,23.20091176
7,BOY_kl,2016,9020,2.79,4.542494302
8,BOY_kl,2016,9023,4.35,7.082383588
9,BOY_kl,2017,115,2.33,3.793552589
10,BOY_kl,2017,121,1.27,2.067730381
11,BOY_kl,2017,131,0.71,1.155975252
12,BOY_kl,2017,171,6.47,10.534028
13,BOY_kl,2017,411,10.49,17.07912732
14,BOY_kl,2017,459,11.77,19.16313904
15,BOY_kl,2017,9012,6.99,11.38065777
16,BOY_kl,2017,9018,14.25,23.20091176
17,BOY_kl,2017,9020,2.79,4.542494302
18,BOY_kl,2017,9023,4.35,7.082383588
19,BOY_kl,2018,115,4.23,6.887007489
20,BOY_kl,2018,131,11.84,19.27710843
21,BOY_kl,2018,171,2.56,4.168023445
22,BOY_kl,2018,411,1.37,2.230543797
23,BOY_kl,2018,459,11.73,19.09801368
24,BOY_kl,2018,9012,6.99,11.38065777
25,BOY_kl,2018,9018,14.29,23.26603712
26,BOY_kl,2018,9020,4.06,6.610224683
27,BOY_kl,2018,9023,4.35,7.082383588
28,BOY_kl,2019,131,3.7,6.024096386
29,BOY_kl,2019,171,4.49,7.310322371
30,BOY_kl,2019,411,12.91,21.01921198
31,BOY_kl,2019,459,11.73,19.09801368
32,BOY_kl,2019,9012,5.89,9.589710192
33,BOY_kl,2019,9018,14.52,23.64050798
34,BOY_kl,2019,9020,3.83,6.235753826
35,BOY_kl,2019,9023,4.35,7.082383588
36,BOY_kl,2020,115,5.44,8.857049821
37,BOY_kl,2020,131,7.5,12.21100619
38,BOY_kl,2020,171,5.3,8.629111039
39,BOY_kl,2020,411,2.7,4.395962227
40,BOY_kl,2020,459,12.08,19.66786063
41,BOY_kl,2020,9012,5.89,9.589710192
42,BOY_kl,2020,9018,14,22.79387822
43,BOY_kl,2020,9020,4.16,6.773038098
44,BOY_kl,2020,9023,4.35,7.082383588
45,BOY_kl,2021,115,2.83,4.607619668
46,BOY_kl,2021,121,1.63,2.653858678
47,BOY_kl,2021,171,3.57,5.812438945
48,BOY_kl,2021,411,12.91,21.01921198
49,BOY_kl,2021,459,12.08,19.66786063
50,BOY_kl,2021,9012,5.89,9.589710192
51,BOY_kl,2021,9018,14,22.79387822
52,BOY_kl,2021,9020,4.16,6.773038098
53,BOY_kl,2021,9023,4.35,7.082383588
54,BOY_kl,2022,131,11.99,19.52132856
55,BOY_kl,2022,171,3.57,5.812438945
56,BOY_kl,2022,411,8.2,13.3507001
57,BOY_kl,2022,459,19.2,31.26017584
58,BOY_kl,2022,9018,13.94,22.69619017
59,BOY_kl,2022,9020,0.17,0.276782807
60,BOY_kl,2022,9023,4.35,7.082383588
61,BOY_oh_B224,2016,115,86.22,1.625688212
62,BOY_oh_B224,2016,121,3.35,0.063164643
63,BOY_oh_B224,2016,131,103.54,1.952258843
64,BOY_oh_B224,2016,171,118.35,2.23150313
65,BOY_oh_B224,2016,411,307.08,5.790029414
66,BOY_oh_B224,2016,459,382.83,7.218304548
67,BOY_oh_B224,2016,602,40.48,0.763255147
68,BOY_oh_B224,2016,9001,47.18,0.889584433
69,BOY_oh_B224,2016,9002,1818.98,34.29708123
70,BOY_oh_B224,2016,9003,286.87,5.408967494
71,BOY_oh_B224,2016,9007,6.19,0.116713176
72,BOY_oh_B224,2016,9008,49.43,0.932008447
73,BOY_oh_B224,2016,9010,60.65,1.143562863
74,BOY_oh_B224,2016,9011,67.08,1.264801267
75,BOY_oh_B224,2016,9012,327.52,6.175428011
76,BOY_oh_B224,2016,9018,213.02,4.016517083
77,BOY_oh_B224,2016,9020,283.54,5.346179953
78,BOY_oh_B224,2016,9021,4.42,0.083339618
79,BOY_oh_B224,2016,9023,991.75,18.69956256
80,BOY_oh_B224,2016,9024,0.08,0.001508409
81,BOY_oh_B224,2016,9025,100.89,1.902292782
82,BOY_oh_B224,2016,9029,4.15,0.078248737
83,BOY_oh_B224,2017,115,110.3,2.079719436
