Name,Year,Value,Area,Area_Percentage
Schwarzbach,2016,121,1.1803139,0.11%
Schwarzbach,2016,131,23.5662212,2.14%
Schwarzbach,2016,171,35.2393048,3.20%
Schwarzbach,2016,411,71.6288366,6.51%
Schwarzbach,2016,459,47.8026249,4.34%
Schwarzbach,2016,602,11.5730151,1.05%
Schwarzbach,2016,9007,59.0459963,5.37%
Schwarzbach,2016,9012,48.2628893,4.39%
Schwarzbach,2016,9018,0.1300323,0.01%
Schwarzbach,2016,9020,38.3400599,3.48%
Schwarzbach,2016,9023,537.1102298,48.82%
Schwarzbach,2016,9024,178.9869575,16.27%
Schwarzbach,2016,9025,47.3922913,4.31%
Schwarzbach,2017,121,5.0713892,0.46%
Schwarzbach,2017,131,40.380671,3.67%
Schwarzbach,2017,171,18.6349649,1.69%
Schwarzbach,2017,411,65.8272669,5.98%
Schwarzbach,2017,459,47.1124362,4.28%
Schwarzbach,2017,602,9.6125206,0.87%
Schwarzbach,2017,9007,59.0459963,5.37%
Schwarzbach,2017,9012,50.9636218,4.63%
Schwarzbach,2017,9018,0.1300323,0.01%
Schwarzbach,2017,9020,39.9903951,3.63%
Schwarzbach,2017,9023,537.1102298,48.82%
Schwarzbach,2017,9024,178.9869575,16.27%
Schwarzbach,2017,9025,47.3922913,4.31%
Schwarzbach,2018,121,8.8522755,0.80%
Schwarzbach,2018,131,14.2437441,1.29%
Schwarzbach,2018,171,29.197609,2.65%
Schwarzbach,2018,411,85.8727337,7.80%
Schwarzbach,2018,459,46.9123827,4.26%
Schwarzbach,2018,9007,56.4752876,5.13%
Schwarzbach,2018,9012,53.5243063,4.86%
Schwarzbach,2018,9018,0.0900224,0.01%
Schwarzbach,2018,9020,40.6806996,3.70%
Schwarzbach,2018,9023,538.0304632,48.90%
Schwarzbach,2018,9024,178.9869575,16.27%
Schwarzbach,2018,9025,47.3922913,4.31%
Schwarzbach,2019,121,5.8916167,0.54%
Schwarzbach,2019,131,31.4683187,2.86%
Schwarzbach,2019,171,8.9123198,0.81%
Schwarzbach,2019,411,68.3080186,6.21%
Schwarzbach,2019,459,51.1434665,4.65%
Schwarzbach,2019,602,10.2926768,0.94%
Schwarzbach,2019,9007,49.9034859,4.54%
Schwarzbach,2019,9012,53.4442847,4.86%
Schwarzbach,2019,9018,0.0900224,0.01%
Schwarzbach,2019,9020,62.0262984,5.64%
Schwarzbach,2019,9023,535.539821,48.67%
Schwarzbach,2019,9024,178.9369445,16.26%
Schwarzbach,2019,9025,44.3014989,4.03%
Schwarzbach,2020,121,15.1940228,1.38%
Schwarzbach,2020,131,33.308764,3.03%
Schwarzbach,2020,171,2.1505711,0.20%
Schwarzbach,2020,411,68.5880897,6.23%
Schwarzbach,2020,459,53.284041,4.84%
Schwarzbach,2020,602,1.1803124,0.11%
Schwarzbach,2020,9007,48.4730946,4.41%
Schwarzbach,2020,9012,53.9344011,4.90%
Schwarzbach,2020,9018,0.0900224,0.01%
Schwarzbach,2020,9020,66.5975326,6.05%
Schwarzbach,2020,9023,534.9596716,48.62%
Schwarzbach,2020,9024,178.1967507,16.20%
Schwarzbach,2020,9025,44.3014989,4.03%
Schwarzbach,2021,121,31.2382619,2.84%
Schwarzbach,2021,131,15.6841506,1.43%
Schwarzbach,2021,171,4.7212245,0.43%
Schwarzbach,2021,411,70.3085325,6.39%
Schwarzbach,2021,459,52.7739125,4.80%
Schwarzbach,2021,9007,49.2032943,4.47%
Schwarzbach,2021,9012,53.5042886,4.86%
Schwarzbach,2021,9018,0.0900224,0.01%
Schwarzbach,2021,9020,65.3571873,5.94%
Schwarzbach,2021,9023,534.8796487,48.61%
Schwarzbach,2021,9024,178.1967507,16.20%
Schwarzbach,2021,9025,44.3014989,4.03%
Schwarzbach,2022,121,44.9318976,4.08%
Schwarzbach,2022,131,30.8180975,2.80%
Schwarzbach,2022,171,6.4117443,0.58%
Schwarzbach,2022,411,94.0946456,8.55%
Schwarzbach,2022,459,68.8882502,6.26%
Schwarzbach,2022,9007,49.1632834,4.47%
Schwarzbach,2022,9018,0.0900224,0.01%
Schwarzbach,2022,9020,48.7930149,4.43%
Schwarzbach,2022,9023,534.5695674,48.59%
Schwarzbach,2022,9024,178.1967507,16.20%
Schwarzbach,2022,9025,44.3014989,4.03%
Rotbach,2016,131,1.0902671,0.12%
Rotbach,2016,171,14.743976,1.66%
Rotbach,2016,411,10.8929446,1.23%
Rotbach,2016,459,28.1474706,3.17%
Rotbach,2016,602,2.0105515,0.23%
Rotbach,2016,9002,1.1602849,0.13%
Rotbach,2016,9008,19.9253852,2.25%
Rotbach,2016,9012,7.7921362,0.88%
Rotbach,2016,9018,44.8520768,5.06%
Rotbach,2016,9020,52.1840204,5.88%
Rotbach,2016,9023,507.5605608,57.23%
Rotbach,2016,9024,83.0215932,9.36%
Rotbach,2016,9025,104.9575952,11.83%
