stream,catchment,date_sampled,"pH
",water_temp,"oxygen
_dissolved","oxygen
_saturation",,redox _potential,conduc-tivity,water _level _at_pole,comment
KIN1,Kinzig,2025-03-25,8.86,11.4,12.9,117.9,120.2,85.6,359,15,
KIN2,Kinzig,2025-03-25,8.53,10.7,13.4,121.5,123.1,77.0,436,15,
KIN3,Kinzig,2025-03-25,8.63,9.7,13.1,115.2,116.6,70.9,435,9,Wehr geöffnet (oder geschliffen?)
KIN4,Kinzig,2025-03-25,7.91,9.5,11.0,96.2,97.1,77.5,438,36,
STE1,Steinau,2025-03-27,8.19,9.7,12.2,107.7,108.5,86.6,313,NA,"no pole, no discharge measured"
STE2,Steinau,2025-03-25,8.82,11.5,12.2,111.8,112.4,27.9,320,NA,"no pole, no discharge measured"
SAL1,Salz,2025-03-27,8.88,8.1,14.0,119.2,120.2,80.3,171,48,
SAL2,Salz,2025-03-27,8.25,6.1,14.1,114.1,114.2,72.6,209,23,Pegel gemessen an kleiner Steintreppe
BRA1,Bracht,2025-03-28,8.23,10.4,12.5,112.0,116.7,81.9,158,10,
BRA2,Bracht,2025-03-28,8.35,7.3,12.0,99.5,102.8,66.6,197,12,
ORB1,Orb,2025-03-26,7.13,8.9,11.7,101.6,101.7,70.9,98,21,
ORB2,Orb,2025-03-26,7.03,8.9,11.6,100.6,100.3,74.1,123,25,
BIE1,Bieber,2025-03-26,7.60,9.0,11.9,103.1,103.3,76.1,138,9,
BIE2,Bieber,2025-03-26,7.62,8.8,11.8,101.8,101.7,76.2,146,18,
GRU1,Gründau,2025-03-24,7.45,11.2,11.4,103.6,104.8,69.0,121,22,
GRU2,Gründau,2025-03-24,6.91,12.0,11.5,106.4,107.6,64.6,144,6,
FAL1,Fallbach,2025-03-28,7.96,12.1,10.2,94.8,96.2,78.7,141,12,
FAL2,Fallbach,2025-03-28,8.21,11.0,13.8,125.2,126.0,75.9,740,19,
KRE1,Krebsbach,2025-03-29,8.22,9.6,12.1,106.4,106.5,80.7,831,25,
KRE2,Krebsbach,2025-03-29,8.01,9.3,10.8,94.0,93.8,85.1,839,28,
KLI,Klingbach,2025-03-27,6.81,9.1,11.1,96.8,98.4,79.9,85,NA,no pole; discharge extremely low
