"Stream","Date","Average","SD"
"BOYohB224","2025-03",8.125,2.364
"BOYohBr","2025-03",8.418,1.58
"BOYohKi","2025-03",8.068,2.098
"BOYohSp","2025-03",7.902,2.029
"BOYuhSp","2025-03",7.804,2.124
"BRAob","2025-03",7.841,1.527
"BRAohBo","2025-03",7.495,1.882
"HAAob","2025-03",8.934,2.17
"HAAun","2025-03",8.618,2.099
"KIRun","2025-03",9.403,1.213
"LIEohBo","2025-03",7.326,2.783
"NATohBo","2025-03",8.036,3.09
"QUAohB","2025-03",7.66,2.789
"SCHohVo","2025-03",7.256,2.27
"VORohBo","2025-03",8.584,1.85
"VORuhSc","2025-03",8.401,2.015
"WITob","2025-03",8.408,3.205
