"effect","term","estimate","std.error","statistic","df","p.value","model"
"fixed","(Intercept)",0.00525719439426828,0.000611212135733898,8.6012598358438,103.999999998466,0.0000000000000878295212263221,"LandUse"
"fixed","LandUseurban",-0.00138114023502049,0.000864384491841903,-1.59783088203889,103.999999998466,0.113114616597894,"LandUse"
"fixed","(Intercept)",0.00465301789298812,0.000716926918951035,6.49022622807376,102.999999997533,0.00000000305616746065727,"LandUse + Abundance"
"fixed","LandUseurban",-0.00159976297213992,0.000869244335071027,-1.84040655497536,102.999999998368,0.0685876219164239,"LandUse + Abundance"
"fixed","total_abundance",0.0000251345012306502,0.0000158812343046991,1.58265414063019,102.999999998567,0.116566184517161,"LandUse + Abundance"
"fixed","(Intercept)",0.00790269598564564,0.00621168141194716,1.27223137529979,101.000000001389,0.206212211464212,"Full Environmental"
"fixed","LandUseurban",-0.00146595218464757,0.000977124921207565,-1.50027100202899,101.000000000712,0.136663821414296,"Full Environmental"
"fixed","total_abundance",0.0000306616028457118,0.0000220735476023249,1.38906547321294,101.000000001404,0.16786800861689,"Full Environmental"
"fixed","oxygen_dissolved",-0.000242528993113796,0.000515058952148313,-0.470876182429617,101.000000000658,0.638744558490265,"Full Environmental"
"fixed","conductivity",-0.0000017160290478965,0.00000251661119681451,-0.681880876183268,101.000000000977,0.496874994724553,"Full Environmental"
