stream,replicate,LandUse,k_micro,k_total,k_macro,total_abundance,Gammarids,Trichoptera,Chironomids,Others,ph,water_temp,oxygen_dissolved,oxygen_saturation,redox,conductivity,water_level
BIE1,rep 1,urban,-2.7645946955951888,0.5714285714285714,3.3360232670237604,30,20,10,0,NA,7.6,9,11.86,103.130434782609,76.1,138,9
BIE1,rep 2,urban,-2.8874289830425863,-3.2676303489511973,-0.380201365908611,0,0,0,0,0,7.6,9,11.86,103.130434782609,76.1,138,9
BIE1,rep 3,urban,-2.600815645665326,-2.832835966399298,-0.23202032073397216,33,30,3,0,NA,7.6,9,11.86,103.130434782609,76.1,138,9
BIE2,rep 1,rural,-2.503328115945169,0.5714285714285714,3.07475668737374,27,7,20,0,0,7.62,8.8,11.79,101.813471502591,76.2,146,18
BIE2,rep 2,rural,-2.5013783653507655,0.5714285714285714,3.0728069367793367,20,10,10,0,0,7.62,8.8,11.79,101.813471502591,76.2,146,18
BIE2,rep 3,rural,-3.0687557883220773,0.5714285714285714,3.6401843597506485,72,20,50,2,0,7.62,8.8,11.79,101.813471502591,76.2,146,18
BRA1,rep 1,urban,-2.7723936979728006,-0.7056580679054806,2.06673563006732,12,11,1,0,NA,8.23,10.4,12.48,112.028725314183,81.9,158,10
BRA1,rep 2,urban,-2.2225640303511174,-2.5013783653507655,-0.27881433499964814,21,14,0,7,NA,8.23,10.4,12.48,112.028725314183,81.9,158,10
BRA1,rep 3,urban,-2.333699814232096,0.5714285714285714,2.9051283856606673,21,20,1,0,NA,8.23,10.4,12.48,112.028725314183,81.9,158,10
BRA2,rep 1,rural,-1.9223024388130356,0.5714285714285714,2.493731010241607,9,2,2,5,NA,8.35,7.3,11.98,99.5016611295681,66.6,197,12
BRA2,rep 2,rural,-2.464333104057106,0.5714285714285714,3.035761675485677,14,5,2,7,NA,8.35,7.3,11.98,99.5016611295681,66.6,197,12
FAL1,rep 1,rural,-3.1311478073429777,0.5714285714285714,3.702576378771549,18,17,0,1,0,7.96,12.1,10.2,94.7955390334573,78.7,141,12
FAL1,rep 2,rural,-2.290805301155227,0.5714285714285714,2.862233872583799,10,10,0,0,0,7.96,12.1,10.2,94.7955390334573,78.7,141,12
FAL1,rep 3,rural,-2.26740829402239,0.5714285714285714,2.8388368654509613,9,7,1,1,0,7.96,12.1,10.2,94.7955390334573,78.7,141,12
GRU1,rep 1,rural,-2.7899414533224287,-1.6961313698622722,1.0938100834601565,8,7,0,1,NA,7.45,11.2,11.36,103.649635036496,69,121,22
GRU1,rep 2,rural,-2.4428858475186717,-2.7002529259798855,-0.25736707846121387,11,9,0,2,0,7.45,11.2,11.36,103.649635036496,69,121,22
GRU1,rep 3,rural,-3.0785045412940937,-2.4487350993018815,0.6297694419922122,15,7,0,8,0,7.45,11.2,11.36,103.649635036496,69,121,22
GRU2,rep 1,urban,-2.6671071658750316,-3.0473085317836426,-0.380201365908611,23,20,0,3,NA,6.91,12,11.49,106.388888888889,64.6,144,6
GRU2,rep 2,urban,-1.7351263817503344,-0.6959093149334648,1.0392170668168697,80,80,0,0,NA,6.91,12,11.49,106.388888888889,64.6,144,6
GRU2,rep 3,urban,-2.242061536295149,-2.5715693867492786,-0.3295078504541298,67,60,0,7,NA,6.91,12,11.49,106.388888888889,64.6,144,6
KIN1,rep 1,rural,-2.8659817265041516,-2.2479107880783586,0.618070938425793,6,6,0,0,NA,8.86,11.4,12.87,117.857142857143,85.6,359,15
KIN1,rep 2,rural,-2.7489966908399643,-2.509177367728378,0.23981932311158616,17,7,0,10,NA,8.86,11.4,12.87,117.857142857143,85.6,359,15
KIN1,rep 3,rural,-2.464333104057106,-2.0431869756660297,0.42114612839107624,10,0,0,10,NA,8.86,11.4,12.87,117.857142857143,85.6,359,15
KIN2,rep 1,urban,-3.3027258596504523,-1.9125536858410195,1.3901721738094328,15,5,0,10,0,8.53,10.7,13.44,121.518987341772,77,436,15
KIN2,rep 2,urban,-2.2225640303511174,-2.3980415838473994,-0.17547755349628202,39,30,4,5,0,8.53,10.7,13.44,121.518987341772,77,436,15
KIN2,rep 3,urban,-1.9846944578339354,-1.9710462036731133,0.013648254160822049,64,20,4,40,NA,8.53,10.7,13.44,121.518987341772,77,436,15
KIN3,rep 1,urban,-1.918402937624229,0.5714285714285714,2.4898315090528005,9,4,2,3,NA,8.63,9.7,13.09,115.228873239437,70.9,435,9
KIN3,rep 2,urban,-2.427287842763447,-2.008091464966773,0.41919637779667385,29,9,0,20,NA,8.63,9.7,13.09,115.228873239437,70.9,435,9
KIN3,rep 3,urban,-2.396091833252996,-2.091930740526108,0.30416109272688807,15,0,0,15,NA,8.63,9.7,13.09,115.228873239437,70.9,435,9
KIN4,rep 1,rural,-2.306403305910453,-0.4248939823114294,1.8815093235990235,12,7,2,3,0,7.91,9.5,10.97,96.2280701754386,77.5,438,36
KIN4,rep 2,rural,-2.633961405770179,0.5714285714285714,3.2053899771987506,8,0,1,7,0,7.91,9.5,10.97,96.2280701754386,77.5,438,36
KIN4,rep 3,rural,-2.2108655267846995,0.5714285714285714,2.7822940982132707,21,14,7,0,NA,7.91,9.5,10.97,96.2280701754386,77.5,438,36
KRE1,rep 1,urban,-2.912775740769827,-1.6239905978693558,1.2887851429004713,83,70,1,12,NA,8.22,9.6,12.11,106.414762741652,80.7,831,25
